9747930610627600,9746541314669090
9747930624298200,9747930610627600
9747930629366030,9747930624298200
9747930635516810,9747930629366030
9747930637104580,9747930635516810
9747930639727400,9747930637104580
9747930643375070,9747930639727400
9747930648872100,9747930643375070
9747930656073150,9747930648872100
9747930656292290,9747930656073150
9747930658127990,9747930656292290
9747930663746320,9747930658127990
9747930670341020,9747930663746320
9747930674800230,9747930670341020
9747930684827490,9747930674800230
9747930699787150,9747930684827490
9747930708056820,9747930699787150
9747930708925530,9747930708056820
9747930712975730,9747930708925530
9747930718639760,9747930712975730
9747930720469940,9747930718639760
9747930723595070,9747930720469940
9747930726289770,9747930723595070
9747930740833000,9747930726289770
9747930751563560,9747930740833000
9747930754066420,9747930751563560
9747930755816030,9747930754066420
9747930755927480,9747930755816030
9747930757154010,9747930755927480
9747930767650010,9747930757154010
9747930774079110,9747930767650010
9747930786223370,9747930774079110
9747930788942040,9747930786223370
9747930789094230,9747930788942040
9747930789810780,9747930789094230
9747930796197180,9747930789810780
9747930801683010,9747930796197180
9747930804671390,9747930801683010
9747930808761820,9747930804671390
9747930810117110,9747930808761820
9747930811741050,9747930810117110
9747930812544910,9747930811741050
9747930813637170,9747930812544910
9747930814728530,9747930813637170
9747930817552280,9747930814728530
9747930821996660,9747930817552280
9747930822775120,9747930821996660
9747930829225920,9747930822775120
9747930833985700,9747930829225920
9747930835682700,9747930833985700
9747930838616480,9747930835682700
9747930847666230,9747930838616480
9747930856460610,9747930847666230
9747930866796670,9747930856460610
9739719008130620,9747930866796670
9739719023103100,9739719008130620
9739719025403780,9739719023103100
9739719027085960,9739719025403780
9739719030606160,9739719027085960
9739719031680010,9739719030606160
9739719043767020,9739719031680010
9739719057934730,9739719043767020
9739719058101610,9739719057934730
9739719064895720,9739719058101610
9739719068371290,9739719064895720
9739719072782610,9739719068371290
9739719075794610,9739719072782610
9739719094918760,9739719075794610
9739719095008370,9739719094918760
9739719096381500,9739719095008370
9739719106282300,9739719096381500
9739719110812160,9739719106282300
9739719118920250,9739719110812160
9739719131185760,9739719118920250
